Earn Up to $1600 Month Writing for Survival/Outdoors Blog | $3 per 100 words | 400 Word Trial Offer,"Looking to pay a writer up to $400+ a week to write content for either my survival or outdoors blog at a rate of $3 per 100 words (3¢ per word).

The first job offer will be for the first 400 words of an article and I'll hire you for the other 1000+ words if you write the first 400 good. This way I can see your writing skill and how you follow guidelines. If you accept the job I'll let you know how I like my blog articles written and you can decide if you want to accept or not.

All articles will be informational posts only.

For example, I may give you the keyword ""how to survive a bear attack"" and you'll have to write a 1,000+ word blog article on the subject. I expect you to research the topic thoroughly so you can be as helpful as possible to the reader.

Make sure to write pineapple at the beginning of your message to let me know you read the job offer all the way through.

Look forward to hearing from you!

P.S. My total monthly spending is $1600+ but I'll be hiring multiple writers to fulfill my content needs. This means it's unlikely for you to make the total amount unless you're an exceptional writer who can write 53,000+ words a month. So I guess it's technically possible, just highly unlikely.",48
Shop concept design ,"We are a beach product suppliers from manufactures

We will like to create our own retail shops

i will like to list the products we sell
and to create a cool and fresh design for the shops
so we can start looking for franchise owners ",15
Wix Website erstellen,"Guten Tag

Gerne möchte ich eine einfache Website mit Wix erstellen lassen.

Website:
- 3 Menüpunkte (nicht solche wo die Seite einfach runterscrollt)
- implementierung von z.b. Service wie Calendly Besucher können direkt kostenlose Online Meetings in mein Google Kalender buchen.
- Uploads von Videos und Fotos

Zusammenarbeit
- Zeitfenster diese Woche Kw52
- Solltet Ihr in die engere Auswahl kommt, wünsche ich ein Google Meet ca 20 Minuten um die Details zu besprechen
- Mindestens 2 Anpassungen nach dem fertigstellen
 ",32
Heat map of self storage supply and demand,"To start: I am trying to answer the question - ""Where should I buy land to build a self-storage facility?""

I am looking for a heatmap style visualization of current self storage facility supply and demand. To start, you can keep this relative to the state of Pennsylvania, USA.

This may be a tough project that will require several bits of data and the ability to convert that data into a heat map. The ultimate goal of this project is to develop a tool that will allow me to find areas of land that have high population density but low amount of self storage facilities.

You will need to find/create:
1. A list of ALL self storage facilities
2. An accurate estimate of square footage per facility. (This can be done manually by measuring the length/width on Google Maps satellite. View, however, this method is not accurate for two story facilities or facilities that are located inside of other buildings that you can not easily measure the amount of storage square footage by looking at the building footprint. )
3. From 1. and 2. you can build a heatmap of self storage facility square footage density.
4. A heatmap of population density.
5. Finally from the previous data sets generate the final ""self storage square foot per capita"" heatmap.



Could you kindly answer the following questions:
What skills will you require to perform this job?
What is the budget for the job?
Where will you pull you data?

Thanks!




",13
Dynamic map,"When posting your bid, please state the following

1. which technology you will use to create the website
2. how much money it will cost
3. how long it will take to complete.

I am seeking to create a dynamic website using google maps to keep tracks of addresses, communities, business.
Here’s how it will work:
1.	on the admin section, I will add the users who will be able to use the website.
A.	Names (first, last), ID number, email address.
B.	A temporary email address will be sent to the user prompting them to change it to something else.
C.	Unless I actually added you as a user, then the person will not be able to use the website.
D.	I want to be able to add the choice of alerts/flags they can choose from
2.	Admin section, I will add the Districts/sectors (see #8 for more info)
3.	I can enter a specific community and attached special messages/alerts. (example gate codes, community map, property manager)
A.	As I approach the community, the alerts will pop up to show me the gate codes, property manager’s name, etc..
4.	I can enter a specific address and also flag the address. For example: I want if the address has dangerous people, I can flag it with Dangerous people, or if the house is a half way house, I can flag it half way house.
5.	Any members can flag an address and it should list who flagged the address and when
6.	Also, any flag that was entered and also be removed.
7.	If there are multiple addresses I need to go to, I want to be able to enter all the addresses and for the map to show me the address that’s closest to me and once I get to that address, for the map to show me the next closest address based on the list of addresses I just entered.
8.	Also, I want to be able to draw a section of the map and label. For example; I want to be able to say any addresses within a box like, from Atlantic avenue West to Jog Road and South to Linton Blvd then East to military trail and North to Atlantic Ave will be labeled as Sector 4.
9.	I want to be able to show all the houses that were flagged.
A.	Example. I want to say show me all the houses that were flagged with dangerous people
B.	Or show addresses that were flagged as halfway houses
C.	I want to be able to complete the search to by districts/sectors
",45
Hiring A Video Editor (Telugu only) ,"Hi everyone,
We are looking for a full-time video editor who is skilled  in terms of editing and sound design.
Note : ( Must be able to Communicate in Telugu )

•  Here are the following attributes that we are looking for in  the editor

 1. Proficiency in using Adobe Premiere Pro or Final cut Pro.
 2.  Should Enjoy Editing & Should be Creative.
 3. Proficiency in sound design .
So if this sounds like a job for you, please contact

 contactkarthifer@gmail.com

                  (or)

https://instagram.com/karthifer
",54
English to Danish translation project,"we are looking for experienced English to Danish translator to do an assignment of 239 words documents
deadline:5th of Jan 9:00 am (GMT+8)HONG KONG
high-quality translation is very important. avoid machine translation",100
"Develop a simple Unity app - ""Grow your own team""","Need to develop little app on Unity ver.2019.

Full description of the task in the attachment. Please read all clearly. More information and manuals I provide you after we discuss main moments of concept and idea of app.

Design and concept is in the attached document.
https://docs.google.com/document/d/1MrrcTu_zfMd0PAvaxQXz8TWP7bNKqHdk7WXnQ5ZjssY/edit?usp=sharing",64
Looking for a Sound Engineer to edit Audio Courses,"We are looking for a sound engineer to improve the quality of our Audio courses: noise reduction, clear voice, fade in fade out, reduce P- T noises / smacking noises etc, treble / bass, sound compression to keep the same volume throughout the audio and at the same time keep the authentic dynamic voice.
If this is something you can identify yourself with we would like you to check and improve  the audio in the attachment to test your skills. We would like to start with a few courses first on an hourly rate, but would need someone longterm on a fixed weekly or monthly base starting early next year.
Since the Audio Courses are in German, German knowledge is definitely a benefit. ",25
GIS & Front end development - Interactive webmap dashboard,"GIS / Frontend developer needed to help design and build an interactive webmap with infographics updating on a dashboard below map.
Your tasks will be to setup the UI with the ability to toggle layers on/off, transparency etc
Layers include Value based polygons - derived from postgresql DB
Shapefiles with meta data
Point data (points of interest)

Ideal candidate will work closely in with our Data science team developing both the frontend using API nodes and helping to develop other datasets both back-end and front-end.

Map visualisations are key as well as overall user experience. This product will be EASY to USE and very beautifully show the data- both on the map and in the infographics dashboard.

There are upto 20 infographics, however there will be about 5 different TYPES which can be used from any of the REACT libraries.

A considered colour scheme and visualiation strategy for the data will be required to ensure this is easy to use and show all the data in a pretty way.

Looking for someone who can lead from the front and think big while providing results on the website every week.

Weekly meetings with the whole team, with the aim that the prototype will be ready within 4-5 weeks.",19
